fold,variable,model,n,bias,mae,rmse,pearson_r,nse,wet_accuracy,pod,far,csi,frequency_bias,wet_amount_rmse
3,T2M,linear_stack,53416,0.17604506316929483,0.8787588846837219,1.2323769373987004,0.9769072536328816,0.9528468455291528,,,,,,
3,T2M,ml_regressor,53416,0.2570185379136777,0.9045593655187028,1.2420882747992916,0.9772816658794946,0.9521007678922561,,,,,,
4,T2M,raw_nasa,58691,-0.7109795368966281,1.8418694518750747,2.3030572157961875,0.924113522658315,0.8264411401651147,,,,,,
4,T2M,anchor_idw_bmd,58544,0.07654495842823344,0.8017520922200638,1.1406774925347738,0.9787208122288198,0.9574408070730598,,,,,,
4,T2M,global_month_hour_bias,58691,-0.24640733180241772,1.4539002522017526,1.8864376260116766,0.9421367966340779,0.8835546277182041,,,,,,
4,T2M,idw_residual,58691,-0.11112116500716104,0.9316638543669716,1.303156562631954,0.972085725875906,0.9444312631979364,,,,,,
4,T2M,linear_stack,58691,-0.0017120386671042427,0.8030366344937554,1.1378262694832413,0.9786421125990106,0.9576367523954812,,,,,,
4,T2M,ml_regressor,58691,-0.013642370396661153,0.8581175092926979,1.1853162072744114,0.9767469417714069,0.9540266894047681,,,,,,
5,T2M,raw_nasa,54124,-0.47878187125859145,1.806576934446826,2.3230475486227933,0.9191966396578958,0.8223078352265256,,,,,,
5,T2M,anchor_idw_bmd,53950,0.2821506664573701,0.9700312440150658,1.372878249555129,0.970213789240398,0.9380146913595266,,,,,,
5,T2M,global_month_hour_bias,54124,0.041297118927875555,1.4529920576325936,1.9460793603205067,0.9386032816742075,0.8752980704992147,,,,,,
5,T2M,idw_residual,54124,0.30725465073482205,1.0939587128758406,1.5526547064990368,0.9617477189649878,0.9206216900187502,,,,,,
5,T2M,linear_stack,54124,0.22034146719499506,0.954218758598931,1.360962912944437,0.9699333125848547,0.939011962144281,,,,,,
5,T2M,ml_regressor,54124,0.2648664845421895,0.9902184197061327,1.3914478431682975,0.9688901060601728,0.9362491552459712,,,,,,
1,RH2M,raw_nasa,58477,-3.5683400603656135,11.001115281050671,14.727554159253996,0.6878497279365111,0.3042386100627946,,,,,,
