station_id,threshold_mm,hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,accuracy
patuakhali,0.1,1666,15,4997,5010,0.991076740035693,0.74996247936365,0.24947589098532494,3.9637120761451516,0.5711841204654347
patuakhali,5.0,464,51,3337,7836,0.9009708737864077,0.8779268613522757,0.12045690550363447,7.380582524271845,0.7101300479123888
patuakhali,10.0,243,55,2472,8918,0.8154362416107382,0.9104972375690608,0.08772563176895307,9.110738255033556,0.7837953456536618
patuakhali,25.0,58,33,1162,10435,0.6373626373626373,0.9524590163934427,0.04628890662410216,13.406593406593407,0.8977583846680356
rajshahi,0.1,775,35,4853,6025,0.9567901234567902,0.8622956645344705,0.1368532579904644,6.948148148148148,0.5817932922655715
rajshahi,5.0,187,72,2225,9204,0.722007722007722,0.9224709784411277,0.07528180354267311,9.312741312741313,0.8034736481861738
rajshahi,10.0,87,59,1401,10141,0.5958904109589042,0.9415322580645161,0.05623787976729153,10.191780821917808,0.8750855578370978
rajshahi,25.0,19,19,494,11156,0.5,0.9629629629629629,0.03571428571428571,13.5,0.9561088295687885
rangamati,0.1,1279,12,4924,5473,0.9907048799380326,0.7938094470417539,0.20579243765084473,4.804802478698683,0.5776865160848734
rangamati,5.0,436,42,3047,8163,0.9121338912133892,0.8748205569910996,0.12368794326241135,7.2866108786610875,0.7357118412046544
rangamati,10.0,250,43,2179,9216,0.8532423208191127,0.8970769864141622,0.1011326860841424,8.290102389078498,0.8098904859685148
rangamati,25.0,56,29,1060,10543,0.6588235294117647,0.9498207885304659,0.04890829694323144,13.129411764705882,0.9068275154004107
rangpur,0.1,1095,22,4448,6123,0.9803043867502238,0.8024535450117265,0.1967654986522911,4.9623992837958815,0.6175564681724846
rangpur,5.0,316,57,2540,8775,0.8471849865951743,0.8893557422969187,0.108479231033299,7.656836461126005,0.7778062970568104
rangpur,10.0,154,62,1816,9656,0.7129629629629629,0.9218274111675127,0.07578740157480315,9.12037037037037,0.8393223819301848
rangpur,25.0,49,28,837,10774,0.6363636363636364,0.9446952595936795,0.053610503282275714,11.506493506493506,0.9259924709103354
sandwip,0.1,1457,9,5039,5183,0.9938608458390177,0.7757081280788177,0.2239815526518063,4.431105047748977,0.568104038329911
sandwip,5.0,534,49,3188,7917,0.9159519725557461,0.8565287479849544,0.14160700079554495,6.384219554030874,0.7230492813141683
sandwip,10.0,324,48,2393,8923,0.8709677419354839,0.8807508281192492,0.11717902350813743,7.303763440860215,0.7911533196440794
sandwip,25.0,107,38,1230,10313,0.7379310344827587,0.9199700822737472,0.07781818181818181,9.220689655172414,0.8915126625598905
satkhira,0.1,1115,17,4963,5593,0.984982332155477,0.8165514972030273,0.18293683347005743,5.369257950530035,0.5739219712525667
satkhira,5.0,310,61,2765,8552,0.8355795148247979,0.8991869918699187,0.09885204081632654,8.288409703504042,0.7582135523613963
satkhira,10.0,155,51,1807,9675,0.7524271844660194,0.9209989806320081,0.07699950322901143,9.524271844660195,0.8410335386721424
satkhira,25.0,47,26,730,10885,0.6438356164383562,0.9395109395109396,0.058530510585305104,10.643835616438356,0.9353182751540041
sitakunda,0.1,857,12,5286,5533,0.9861910241657077,0.8604916164740355,0.13923639317627945,7.069044879171462,0.5467145790554415
sitakunda,5.0,520,132,2542,8494,0.7975460122699386,0.8301763553233181,0.1628052598622417,4.696319018404908,0.7712183436002737
